danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,duration,track_uri,clusterId
0.504,0.423,9,-8.345,0.028,0.525,0.015,0.133,0.435,121.026,遠くの子守の唄,257039,spotify:track:2eFOMxj2YfzxZP6u9OTsUm,2
0.403,0.629,9,-7.459,0.0434,0.191,5.47e-06,0.0857,0.262,159.897,Blessing,247200,spotify:track:4KfMPQprAixlYhs5BnVfKu,2
0.286,0.823,0,-4.084,0.051,0.166,0.0,0.378,0.532,200.159,Stranger,215698,spotify:track:2g3R8innEqjZN0et6hSbVY,4
0.422,0.896,11,-4.799,0.11,0.0333,0.0,0.227,0.26,175.032,DYING WISH,261649,spotify:track:0nm0bdksXzUJwJaB4pbCa9,0
0.653,0.871,6,-3.04,0.0451,0.122,0.0,0.215,0.597,99.95,結証,234746,spotify:track:3KIHXNKBeQCxDtgcyGYaB6,2
0.461,0.591,1,-5.838,0.0496,0.463,0.0,0.05,0.354,99.826,give it back,212477,spotify:track:6aHFdm58mPF4YPJX3FgI0z,2
0.504,0.584,5,-4.027,0.0328,0.382,0.0,0.0723,0.378,83.573,あなたがくれたヒカリ,273043,spotify:track:3NQD8vGjo6YSSzxSBz9uGg,2
0.625,0.94,1,-0.643,0.142,0.138,0.0,0.227,0.783,137.02,BANG!!!,196307,spotify:track:4o1s691Qn6lUmFh1Bl28NG,0
0.677,0.843,7,-4.016,0.0495,0.0162,0.0,0.342,0.752,97.473,窓を開けて,216800,spotify:track:4TwD0lFw27wyvl3ZmHV9Vi,4
0.69,0.423,2,-9.194,0.0294,0.883,0.0123,0.111,0.59,130.121,シンパシー,210760,spotify:track:4YYrqU4gvSMIk58wT7IhIa,2
0.592,0.786,6,-5.339,0.0296,0.0302,0.0,0.197,0.633,105.018,Reincarnate,247080,spotify:track:5osgKGvGB4ZEvkw406QxDr,2
0.564,0.721,0,-4.041,0.0343,0.219,0.0,0.138,0.396,100.964,through the dark,226173,spotify:track:65EY4frQ2VHOFL1lRblR3Q,2
0.562,0.832,6,-4.773,0.105,0.0104,0.0,0.366,0.361,145.969,"Thought I Knew ft. ra’z, Hayes",287000,spotify:track:49jXVAeqU0uf5taD4TNEar,0
0.527,0.776,8,-4.672,0.0625,0.104,3.95e-06,0.0812,0.159,92.923,この夢が醒めるまで,253080,spotify:track:7i6gJOOf0oDDYW9xOyVjmN,2
0.504,0.766,3,-3.722,0.0404,0.0513,0.0,0.103,0.328,174.103,CRY,265773,spotify:track:6MYk0grHaGj5c8Qargw2Dg,2
0.673,0.231,4,-15.543,0.0309,0.826,0.0712,0.12,0.432,143.891,YAMAZAKURA,291000,spotify:track:16sWvf8J80qCiiBUKpBLIN,2
0.561,0.686,6,-6.273,0.0473,0.267,0.0,0.137,0.22,89.97,悪魔の子,227680,spotify:track:2TVFbLCdzrX0RdhWNWJmdp,2
0.459,0.878,5,-1.399,0.0688,5.62e-05,0.000307,0.371,0.494,144.852,The Rumbling,220799,spotify:track:5JJKkuYGj99dfws5MiiJSR,4
0.204,0.708,1,-5.425,0.0458,0.442,0.0,0.319,0.278,83.443,逆夢,307667,spotify:track:6ZiEWet0uFRwWBCEKCQ8rY,4
0.689,0.638,0,-7.137,0.0403,0.0114,0.0,0.195,0.505,108.017,Dive Back In Time,169867,spotify:track:4ik2ylkYi7xBgx6C1suLTM,2
0.621,0.774,5,-5.551,0.0372,0.085,0.0,0.139,0.51,119.959,Your Name,217133,spotify:track:3yU4bAIj873n4QI2otkPO8,2
0.541,0.977,4,-2.828,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,紅蓮華,237587,spotify:track:0qMip0B2D4ePEjBJvAtYre,0
0.335,0.92,1,-4.086,0.0986,0.00118,0.0,0.354,0.246,83.117,朝が来る,294933,spotify:track:6Mq4q5OIMO25vBsKpFdlnH,4
0.627,0.778,11,-3.985,0.0285,0.00469,1.97e-05,0.103,0.603,122.974,心海,266309,spotify:track:0FJ6h0nFIe3irtTsrtuevI,2
0.596,0.896,8,-3.874,0.177,0.0476,0.0,0.347,0.494,134.81,EVERBLUE,239493,spotify:track:2ifJEieMAeQqNM0edwhDqs,0
0.545,0.979,4,-2.8,0.153,0.00339,0.000118,0.0775,0.309,135.002,紅蓮華,238587,spotify:track:23DbzwNJSLo7nkSWjODMvY,0
0.497,0.947,7,-3.99,0.061,0.0351,1.33e-05,0.191,0.302,169.995,Tiny Light,290813,spotify:track:4ESyGBnHsW6VJRIFFrZ6Vj,4
0.497,0.947,7,-3.99,0.061,0.0351,1.33e-05,0.191,0.302,169.995,Tiny Light,290813,spotify:track:146aGkg9R4WHI9vxtwNdS9,4
0.346,0.901,1,-4.617,0.12,0.0103,0.0,0.358,0.434,199.934,Cry Baby,241680,spotify:track:6wDntdm888mDo458RaYjGl,0
0.782,0.638,10,-7.378,0.0343,0.322,0.0,0.185,0.581,99.988,リセット,249896,spotify:track:5DfC0daqjnz1iQlOmpv2ib,2
0.721,0.571,10,-8.075,0.0585,0.391,2.64e-05,0.104,0.473,79.957,OverThink,186923,spotify:track:0QLv8A8TpuUZNa3pXyIUDr,2
0.481,0.881,7,-1.829,0.0403,0.031,0.0,0.0561,0.577,180.001,Shout Baby,263827,spotify:track:7HGaPMu9N5yeXnlJy51sOb,2
